,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6,Prob7,Prob8,Prob9,Prob10,Prob11,Prediction,Probability,Real Class,Decision
0,0.00048130038,0.9973285,1.5112305e-16,0.0012193948,2.311706e-06,1.2937761e-12,1.2376287e-18,4.6764995e-08,6.780257e-09,0.00031499736,0.0003497448,0.0003038014,1,0.9973285,1,1
1,0.00086072215,0.00017172065,3.56133e-11,0.9960937,5.350655e-08,9.327696e-08,4.8141444e-18,2.0903951e-06,7.100105e-15,1.6156672e-07,3.5821562e-05,0.0028355413,3,0.9960937,3,1
2,1.0624982e-10,3.850942e-14,1.2986768e-19,1.3170047e-21,8.008655e-07,6.7314796e-22,3.8025298e-36,8.075974e-14,1.03252476e-10,7.5755053e-16,3.087914e-08,0.99999917,11,0.99999917,11,1
3,0.0015974599,0.00030469688,7.164574e-06,1.0110154e-07,0.05260799,2.8865554e-05,2.4637348e-09,0.00013591416,0.04182881,0.8997903,0.0019678462,0.0017308047,9,0.8997903,9,1
4,0.9731809,5.6383058e-08,6.184747e-12,0.02611048,5.9356733e-09,4.2480083e-06,5.0183064e-15,6.1433886e-11,7.302799e-13,6.943206e-07,0.00069481484,8.807409e-06,0,0.9731809,0,1
5,0.0006314266,7.793043e-07,2.9814824e-11,6.8761294e-09,0.0040600426,5.991376e-08,3.0756547e-19,8.855301e-05,9.544785e-11,1.1658582e-06,0.990263,0.0049549304,10,0.990263,10,1
6,0.008893881,0.0013370046,2.8644523e-11,0.031008905,0.0036634572,1.1314516e-05,1.9705909e-17,0.30774045,2.6231767e-10,0.0001213915,0.511121,0.13610262,10,0.511121,10,1
7,0.01435483,0.9856376,5.1683845e-18,1.8448555e-11,5.5900657e-09,5.161633e-06,9.134575e-35,1.5078247e-06,1.5333533e-18,7.932556e-07,5.7876554e-10,2.5210642e-08,1,0.9856376,1,1
8,9.547572e-07,3.5545054e-06,5.7918134e-14,1.2182252e-08,3.9241684e-05,3.5049473e-07,8.354172e-22,2.6535517e-07,1.2615723e-06,0.9999466,7.4070454e-06,3.434256e-07,9,0.9999466,9,1
9,1.0,5.1629365e-24,0.0,2.650576e-23,0.0,1.4112575e-25,3.3529918e-32,2.9879058e-25,1.980427e-28,8.045691e-22,4.3565797e-15,0.0,0,1.0,0,1
10,0.01616025,1.0168902e-06,0.9838028,4.4907016e-12,6.7786794e-07,3.2587737e-05,1.7059573e-09,1.2200844e-06,1.4296104e-11,2.4269387e-10,7.0302235e-07,7.105005e-07,2,0.9838028,2,1
11,2.3426613e-23,0.0,0.0,0.0,1.0161187e-17,2.352597e-27,0.0,9.744947e-37,6.606333e-27,5.0180873e-22,1.0,7.071319e-15,10,1.0,10,1
12,0.99995565,3.5090056e-07,1.0072947e-23,1.8307742e-09,3.5074703e-05,1.9299257e-06,1.4614746e-29,3.4816152e-09,5.411288e-12,1.1883595e-07,1.1044899e-06,5.8196842e-06,0,0.99995565,0,1
13,6.388076e-11,3.762905e-23,1.1672718e-18,2.2836478e-17,1.4004784e-13,4.9976733e-19,1.9741906e-19,5.6008446e-19,1.0,3.0596278e-16,2.98166e-14,1.6318797e-08,8,1.0,8,1
14,1.2601047e-06,2.0984364e-11,1.3547934e-14,7.7747455e-19,2.6467062e-09,1.00469045e-07,1.5256179e-16,0.99999857,2.031173e-29,1.0218518e-15,7.652848e-09,2.4573086e-09,7,0.99999857,7,1
15,0.012917259,1.464603e-06,0.987066,3.043083e-10,9.801991e-09,1.3166465e-05,7.8842874e-08,1.3030947e-06,8.960278e-12,6.3723675e-09,2.7736442e-07,4.6564406e-07,2,0.987066,2,1
16,1.7984671e-12,0.0,0.0,1.0,4.417322e-17,5.9601217e-31,4.999725e-37,2.4405263e-19,1.602728e-36,1.7687438e-17,5.1244894e-27,3.5668097e-22,3,1.0,3,1
17,1.1709205e-13,1.525201e-16,7.117686e-13,1.4048485e-19,1.0870483e-14,1.10391224e-10,3.2678587e-16,9.889168e-13,1.0,1.2100769e-10,8.3044316e-14,8.743738e-17,8,1.0,8,1
18,6.3217556e-17,0.0,0.0,0.0,1.6079401e-35,1.0,7.247198e-35,3.555338e-33,1.7023413e-24,2.039369e-27,5.1695187e-24,4.5087678e-29,5,1.0,5,1
19,0.0047330824,0.00023163304,3.3725453e-10,0.9696228,0.00028688778,0.004227671,1.9578145e-11,3.7244909e-06,5.3822123e-07,0.015372086,0.0038517797,0.001669814,3,0.9696228,3,1
20,3.0687444e-09,2.1561956e-29,8.1977e-18,6.3025003e-22,8.423382e-16,1.80767e-12,2.9615704e-12,1.8914026e-13,1.05747936e-17,4.2237116e-18,1.0,1.1345512e-09,10,1.0,10,1
21,1.0835977e-25,9.668034e-31,0.0,0.0,1.3221157e-20,3.8865269e-25,0.0,1.0,0.0,8.2610305e-30,6.1071717e-37,1.2481617e-23,7,1.0,7,1
22,1.3652373e-06,2.501792e-05,5.99415e-10,7.896086e-10,1.0175528e-05,8.020257e-08,1.2002006e-17,1.7027992e-06,0.99975437,1.5369615e-05,5.8382534e-07,0.00019126346,8,0.99975437,8,1
23,2.5086152e-23,0.0,0.0,1.0,2.3405455e-22,0.0,0.0,1.2381381e-28,0.0,3.930018e-24,8.799394e-37,1.3441975e-34,3,1.0,3,1
24,0.0006737873,6.0430248e-05,7.9551455e-06,4.5684013e-07,0.13442722,3.347196e-06,1.8011069e-10,4.847564e-05,3.8277853e-05,2.4671464e-05,0.0081546735,0.85656077,11,0.85656077,11,1
25,3.6870144e-06,6.4073225e-14,5.1276774e-12,2.6041664e-09,2.2600599e-08,3.9687666e-09,1.3066707e-12,1.1191454e-09,0.9998265,8.197214e-11,1.326591e-10,0.00016987941,8,0.9998265,8,1
26,1.7772663e-08,3.79192e-10,1.0398125e-35,5.5393914e-12,0.0006697177,1.8175355e-09,3.568218e-25,3.2045068e-07,3.6178864e-19,0.9993284,1.5565366e-06,9.967165e-09,9,0.9993284,9,1
27,1.2827313e-25,1.5856306e-32,0.0,0.0,1.938051e-21,1.3156474e-25,0.0,1.0,0.0,1.8934538e-27,2.2670524e-32,4.138341e-24,7,1.0,7,1
