,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6,Prob7,Prob8,Prob9,Prob10,Prob11,Prediction,Probability,Real Class,Decision
0,8.3738625e-05,0.9985185,5.838818e-10,0.00013220098,8.975634e-06,1.1236803e-07,6.4583414e-16,1.8080927e-07,0.0003574683,0.0003188507,4.067508e-06,0.0005758181,1,0.9985185,1,1
1,0.06040426,0.008352366,5.134419e-11,0.8926639,9.053594e-05,0.0023895553,4.191598e-11,5.5615572e-05,7.2556284e-13,7.968265e-05,0.035783775,0.00018028659,3,0.8926639,3,1
2,6.350636e-07,3.4910446e-08,2.5930745e-14,2.4166938e-10,0.00029706687,2.4080786e-11,4.0772355e-23,1.8436855e-10,9.636314e-07,8.2526075e-09,1.6469955e-06,0.9996997,11,0.9996997,11,1
3,0.0012165927,1.1579219e-06,9.2142285e-09,2.4438936e-13,0.22103284,2.524747e-07,5.713657e-23,2.2549516e-07,0.07276164,0.70482945,1.2255768e-08,0.00015778,9,0.70482945,9,1
4,0.49553016,0.00050974585,2.4067397e-12,0.0057496126,0.002046822,0.013718861,1.1086645e-10,0.0006272304,9.151188e-17,8.696455e-06,0.48179016,1.8649274e-05,0,0.49553016,0,1
5,0.028605944,0.0012404814,3.045934e-07,0.00048308726,0.21215975,0.0026193047,2.2897136e-10,0.10373984,1.5730287e-11,0.030970275,0.34757116,0.27260986,10,0.34757116,10,1
6,0.010192397,0.0065284483,5.5879146e-13,0.003091064,0.010422606,0.00011078539,8.40606e-12,0.14955829,1.1925064e-07,0.0015396967,0.7793589,0.039197635,10,0.7793589,10,1
7,0.0077387528,0.9921151,5.097001e-18,1.7643435e-08,1.511258e-07,8.108971e-06,1.0804451e-22,2.8224288e-06,4.956968e-09,0.00012300188,1.1836915e-05,9.452901e-08,1,0.9921151,1,1
8,0.0035845013,0.00018430152,6.6668906e-09,0.00014106826,0.014657431,0.0062804515,1.9877214e-12,0.0026072743,1.5928192e-05,0.96795344,2.520159e-05,0.004550375,9,0.96795344,9,1
9,0.9999989,7.797984e-17,0.0,3.127556e-19,1.8584727e-20,1.1071417e-06,0.0,1.7488743e-11,1.067762e-32,9.134978e-16,4.5580087e-24,9.519089e-29,0,0.9999989,0,1
10,0.016667861,8.236349e-06,0.98264354,8.85051e-07,3.9764696e-08,0.00012457819,0.0003071969,0.00017404031,7.5740046e-11,2.2597584e-07,7.273383e-05,6.8234897e-07,2,0.98264354,2,1
11,3.681556e-10,7.549647e-12,1.3684272e-17,3.4506457e-11,1.7039392e-07,4.847143e-12,4.988071e-12,5.692211e-12,1.3381378e-14,4.1831413e-11,0.99999964,2.2251591e-07,10,0.99999964,10,1
12,0.92442775,0.0072032274,1.1501854e-12,0.00028173896,0.011469933,0.00040883385,4.183956e-16,0.00033327466,4.1757835e-07,0.008211494,0.00077519205,0.0468881,0,0.92442775,0,1
13,3.630401e-11,8.213967e-13,1.0979408e-09,1.353735e-16,5.840654e-08,4.3432363e-16,3.418212e-24,7.3287785e-17,1.0,9.958e-11,1.8124246e-15,4.626905e-09,8,1.0,8,1
14,4.4121384e-06,1.510996e-06,6.239256e-11,2.6758978e-10,2.616893e-05,4.0853402e-07,3.622275e-23,0.9999589,3.6322737e-26,4.891042e-07,2.860357e-07,7.833015e-06,7,0.9999589,7,1
15,0.0067982636,2.6920493e-06,0.9930253,8.348217e-08,5.3125966e-08,3.829125e-05,0.000102743266,2.442362e-05,2.3895813e-10,2.3774898e-07,7.822929e-06,7.5354e-08,2,0.9930253,2,1
16,7.0077166e-11,1.3084365e-15,7.745043e-17,0.99999976,3.9290244e-18,2.4865645e-07,1.886505e-25,1.9062823e-11,1.8865382e-28,4.0968307e-14,2.4788052e-13,1.4599768e-17,3,0.99999976,3,1
17,4.0672685e-06,1.7153528e-06,5.377551e-08,2.1456605e-09,8.648717e-06,4.7155515e-09,1.723146e-17,7.8124424e-10,0.99990606,3.3739892e-05,2.41187e-09,4.571237e-05,8,0.99990606,8,1
18,1.1063531e-10,3.5621357e-20,0.0,1.399908e-23,7.20548e-23,1.0,0.0,6.22609e-19,0.0,8.6410834e-16,1.3740076e-34,8.374333e-38,5,1.0,5,1
